package	format	vectorisation	merge	time
readr	.csv	for loop	do.call	1.38631701469421
readr	.csv	for loop	do.call	1.38083219528198
readr	.csv	for loop	do.call	1.37332582473755
readr	.csv	for loop	do.call	1.41688013076782
readr	.csv	for loop	do.call	1.36458683013916
readr	.csv	for loop	do.call	1.35971212387085
readr	.csv	for loop	do.call	1.33088994026184
readr	.csv	for loop	do.call	1.41866397857666
readr	.csv	for loop	do.call	1.34883308410645
readr	.csv	for loop	do.call	1.37206697463989
readr	.csv	for loop	do.call	1.38479995727539
readr	.csv	for loop	do.call	1.3541100025177
readr	.csv	for loop	do.call	1.35666799545288
readr	.csv	for loop	do.call	1.44852089881897
readr	.csv	for loop	do.call	1.44876909255981
readr	.csv	for loop	do.call	1.3408350944519
readr	.csv	for loop	do.call	1.38763880729675
readr	.csv	for loop	do.call	1.36628198623657
readr	.csv	for loop	do.call	1.38585019111633
readr	.csv	for loop	do.call	1.34494996070862
readr	.csv	for loop	do.call	1.35401105880737
readr	.csv	for loop	do.call	1.3714759349823
readr	.csv	for loop	do.call	1.46044898033142
readr	.csv	for loop	do.call	1.36630320549011
readr	.csv	for loop	do.call	1.4681568145752
readr	.csv	for loop	do.call	1.39228200912476
readr	.csv	for loop	do.call	1.35114979743958
readr	.csv	for loop	do.call	1.37332201004028
readr	.csv	for loop	do.call	1.39219117164612
readr	.csv	for loop	do.call	1.35671401023865
readr	.csv	for loop	do.call	1.35109901428223
data.table	.csv	for loop	do.call	1.22904205322266
data.table	.csv	for loop	do.call	1.20947289466858
data.table	.csv	for loop	do.call	1.19417595863342
data.table	.csv	for loop	do.call	1.15495705604553
data.table	.csv	for loop	do.call	1.22375702857971
data.table	.csv	for loop	do.call	1.17600393295288
data.table	.csv	for loop	do.call	1.15413808822632
data.table	.csv	for loop	do.call	1.23810505867004
data.table	.csv	for loop	do.call	1.12025499343872
data.table	.csv	for loop	do.call	1.1656219959259
data.table	.csv	for loop	do.call	1.13872218132019
data.table	.csv	for loop	do.call	1.15050101280212
data.table	.csv	for loop	do.call	1.131019115448
data.table	.csv	for loop	do.call	1.17338299751282
data.table	.csv	for loop	do.call	1.31906986236572
data.table	.csv	for loop	do.call	1.66216206550598
data.table	.csv	for loop	do.call	1.61441206932068
data.table	.csv	for loop	do.call	1.63376092910767
data.table	.csv	for loop	do.call	1.5244619846344
data.table	.csv	for loop	do.call	1.56188011169434
data.table	.csv	for loop	do.call	1.53543186187744
data.table	.csv	for loop	do.call	1.52694797515869
data.table	.csv	for loop	do.call	1.53435707092285
data.table	.csv	for loop	do.call	1.52508997917175
data.table	.csv	for loop	do.call	1.52754402160645
data.table	.csv	for loop	do.call	1.3965539932251
data.table	.csv	for loop	do.call	1.18344712257385
data.table	.csv	for loop	do.call	1.15492177009583
data.table	.csv	for loop	do.call	1.14860606193542
data.table	.csv	for loop	do.call	1.14197301864624
data.table	.csv	for loop	do.call	1.15239810943604
data.table	.csv	for loop	do.call	1.12864685058594
data.table	.csv	for loop	do.call	1.14808106422424
data.table	.csv	for loop	do.call	1.23070907592773
data.table	.csv	for loop	do.call	1.1357159614563
data.table	.csv	for loop	do.call	1.14933204650879
data.table	.csv	for loop	do.call	1.23468804359436
data.table	.csv	for loop	do.call	1.16488480567932
data.table	.csv	for loop	do.call	1.16637516021729
data.table	.csv	for loop	do.call	1.13653588294983
data.table	.csv	for loop	do.call	1.14122009277344
data.table	.csv	for loop	do.call	1.15991497039795
data.table	.csv	for loop	do.call	1.14640307426453
data.table	.csv	for loop	do.call	1.16808080673218
data.table	.csv	for loop	do.call	1.24404215812683
data.table	.csv	for loop	do.call	1.13235688209534
data.table	.csv	for loop	do.call	1.9516761302948
data.table	.csv	for loop	do.call	3.54252481460571
data.table	.csv	for loop	do.call	3.11367321014404
data.table	.csv	for loop	do.call	2.69519591331482
data.table	.csv	for loop	do.call	2.46108508110046
data.table	.csv	for loop	do.call	2.1588888168335
data.table	.csv	for loop	do.call	1.67357301712036
data.table	.csv	for loop	do.call	1.48865103721619
data.table	.csv	for loop	do.call	1.41912198066711
data.table	.csv	for loop	do.call	1.2317841053009
data.table	.csv	for loop	do.call	1.16947102546692
data.table	.csv	for loop	do.call	1.22648787498474
data.table	.csv	for loop	do.call	1.11476516723633
data.table	.csv	for loop	do.call	1.21821403503418
data.table	.csv	for loop	do.call	1.14049601554871
data.table	.csv	for loop	do.call	1.14105796813965
data.table	.csv	for loop	do.call	1.12642312049866
data.table	.csv	for loop	do.call	1.23532509803772
data.table	.csv	for loop	do.call	1.25442695617676
data.table	.csv	for loop	do.call	1.15062403678894
data.table	.csv	for loop	do.call	1.17952680587769
data.table	.csv	for loop	do.call	1.32432818412781
data.table	.csv	for loop	do.call	1.30524682998657
data.table	.csv	for loop	do.call	1.30356407165527
data.table	.csv	for loop	do.call	1.27006793022156
data.table	.csv	for loop	do.call	1.23278307914734
data.table	.csv	for loop	do.call	1.21947693824768
data.table	.csv	for loop	do.call	1.37266111373901
data.table	.csv	for loop	do.call	1.25633192062378
data.table	.csv	for loop	do.call	1.28155994415283
data.table	.csv	for loop	do.call	1.20934510231018
data.table	.csv	for loop	do.call	1.18865489959717
data.table	.csv	for loop	do.call	1.18492317199707
data.table	.csv	for loop	do.call	1.2734489440918
data.table	.csv	for loop	do.call	1.36799192428589
data.table	.csv	for loop	do.call	1.21920013427734
data.table	.csv	for loop	do.call	1.15771293640137
data.table	.csv	for loop	do.call	1.1936309337616
data.table	.csv	for loop	do.call	1.16041612625122
data.table	.csv	for loop	do.call	1.24073195457459
data.table	.csv	for loop	do.call	1.15393686294556
data.table	.csv	for loop	do.call	1.16991519927979
data.table	.csv	for loop	do.call	1.18124794960022
data.table	.csv	for loop	do.call	1.17778205871582
data.table	.csv	for loop	do.call	1.19284582138062
data.table	.csv	for loop	do.call	1.26810908317566
data.table	.csv	for loop	do.call	1.23930191993713
data.table	.csv	for loop	do.call	1.16591691970825
data.table	.csv	for loop	do.call	1.25569701194763
data.table	.csv	for loop	do.call	1.13440608978271
data.table	.csv	for loop	do.call	1.18192601203918
data.table	.csv	for loop	do.call	1.1651508808136
data.table	.csv	for loop	do.call	1.17560291290283
data.table	.csv	for loop	do.call	1.15642714500427
base	.txt	for loop	do.call	1.22969698905945
base	.txt	for loop	do.call	1.19589996337891
base	.txt	for loop	do.call	1.25336885452271
base	.txt	for loop	do.call	1.15177917480469
base	.txt	for loop	do.call	1.13278794288635
base	.txt	for loop	do.call	1.16469502449036
base	.txt	for loop	do.call	1.16679501533508
base	.txt	for loop	do.call	1.16939997673035
base	.txt	for loop	do.call	1.1827929019928
base	.txt	for loop	do.call	1.21633315086365
base	.txt	for loop	do.call	1.24076700210571
base	.txt	for loop	do.call	1.15209794044495
base	.txt	for loop	do.call	1.18610620498657
base	.txt	for loop	do.call	1.16358590126038
base	.txt	for loop	do.call	1.16937494277954
base	.txt	for loop	do.call	1.18224811553955
base	.txt	for loop	do.call	1.17881083488464
base	.txt	for loop	do.call	1.1699321269989
base	.txt	for loop	do.call	1.22775483131409
base	.txt	for loop	do.call	1.26220798492432
base	.txt	for loop	do.call	1.14285206794739
base	.txt	for loop	do.call	1.16553115844727
base	.txt	for loop	do.call	1.16453385353088
base	.txt	for loop	do.call	1.24445414543152
base	.txt	for loop	do.call	1.14893388748169
base	.txt	for loop	do.call	1.18382906913757
base	.txt	for loop	do.call	1.16038393974304
base	.txt	for loop	do.call	1.26300597190857
base	.txt	for loop	do.call	1.13826608657837
base	.txt	for loop	do.call	1.18396902084351
