# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=109533377
# chain_id=2
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=draws_2.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,L_u.1.1,L_u.2.1,L_u.3.1,L_u.1.2,L_u.2.2,L_u.3.2,L_u.1.3,L_u.2.3,L_u.3.3,sigma_u.1,sigma_u.2,sigma_u.3,sigma,z_u.1.1,z_u.2.1,z_u.3.1,z_u.4.1,z_u.5.1,z_u.6.1,z_u.7.1,z_u.8.1,z_u.9.1,z_u.10.1,z_u.11.1,z_u.12.1,z_u.1.2,z_u.2.2,z_u.3.2,z_u.4.2,z_u.5.2,z_u.6.2,z_u.7.2,z_u.8.2,z_u.9.2,z_u.10.2,z_u.11.2,z_u.12.2,z_u.1.3,z_u.2.3,z_u.3.3,z_u.4.3,z_u.5.3,z_u.6.3,z_u.7.3,z_u.8.3,z_u.9.3,z_u.10.3,z_u.11.3,z_u.12.3,u.1.1,u.2.1,u.3.1,u.4.1,u.5.1,u.6.1,u.7.1,u.8.1,u.9.1,u.10.1,u.11.1,u.12.1,u.1.2,u.2.2,u.3.2,u.4.2,u.5.2,u.6.2,u.7.2,u.8.2,u.9.2,u.10.2,u.11.2,u.12.2,u.1.3,u.2.3,u.3.3,u.4.3,u.5.3,u.6.3,u.7.3,u.8.3,u.9.3,u.10.3,u.11.3,u.12.3
-17229.8,1,0.00390625,2,3,0,33134.1,-0.380242,-1.80062,0.545657,1,-0.604254,0.470728,0,0.796792,0.379394,0,0,0.796539,5.87264,2.0538,1.29554,6.61884,-0.761908,-1.58482,-1.33635,0.690635,-1.40805,-0.703631,-1.3691,0.246729,0.110341,1.24429,1.07337,-1.32149,-1.47601,-0.368924,0.578472,1.4136,-1.83031,-1.22797,-1.50016,1.83409,1.88661,1.6445,-1.36352,-0.503557,1.12303,-1.10459,0.15888,1.65443,1.25932,1.00769,1.49087,1.43068,0.39025,0.430525,-0.90073,1.1573,-4.47442,-9.30707,-7.84789,4.05585,-8.26899,-4.13217,-8.04021,1.44895,0.647992,7.3073,6.30351,-7.76063,-1.46987,1.36305,2.60506,1.45619,-1.24779,-1.13629,-0.755862,2.69521,2.9504,1.14695,-3.5634,0.81594,-0.0312294,-2.28771,-0.366679,2.82327,-0.458781,0.00720295,-0.0337908,2.52835,1.39731,2.01141,-0.945114,0.14086
-17229.8,0,14.3855,0,1,1,17254.5,-0.380242,-1.80062,0.545657,1,-0.604254,0.470728,0,0.796792,0.379394,0,0,0.796539,5.87264,2.0538,1.29554,6.61884,-0.761908,-1.58482,-1.33635,0.690635,-1.40805,-0.703631,-1.3691,0.246729,0.110341,1.24429,1.07337,-1.32149,-1.47601,-0.368924,0.578472,1.4136,-1.83031,-1.22797,-1.50016,1.83409,1.88661,1.6445,-1.36352,-0.503557,1.12303,-1.10459,0.15888,1.65443,1.25932,1.00769,1.49087,1.43068,0.39025,0.430525,-0.90073,1.1573,-4.47442,-9.30707,-7.84789,4.05585,-8.26899,-4.13217,-8.04021,1.44895,0.647992,7.3073,6.30351,-7.76063,-1.46987,1.36305,2.60506,1.45619,-1.24779,-1.13629,-0.755862,2.69521,2.9504,1.14695,-3.5634,0.81594,-0.0312294,-2.28771,-0.366679,2.82327,-0.458781,0.00720295,-0.0337908,2.52835,1.39731,2.01141,-0.945114,0.14086
-17229.8,0,2.43117,0,1,1,17269.9,-0.380242,-1.80062,0.545657,1,-0.604254,0.470728,0,0.796792,0.379394,0,0,0.796539,5.87264,2.0538,1.29554,6.61884,-0.761908,-1.58482,-1.33635,0.690635,-1.40805,-0.703631,-1.3691,0.246729,0.110341,1.24429,1.07337,-1.32149,-1.47601,-0.368924,0.578472,1.4136,-1.83031,-1.22797,-1.50016,1.83409,1.88661,1.6445,-1.36352,-0.503557,1.12303,-1.10459,0.15888,1.65443,1.25932,1.00769,1.49087,1.43068,0.39025,0.430525,-0.90073,1.1573,-4.47442,-9.30707,-7.84789,4.05585,-8.26899,-4.13217,-8.04021,1.44895,0.647992,7.3073,6.30351,-7.76063,-1.46987,1.36305,2.60506,1.45619,-1.24779,-1.13629,-0.755862,2.69521,2.9504,1.14695,-3.5634,0.81594,-0.0312294,-2.28771,-0.366679,2.82327,-0.458781,0.00720295,-0.0337908,2.52835,1.39731,2.01141,-0.945114,0.14086
-17229.8,0,0.239791,0,1,1,17256.5,-0.380242,-1.80062,0.545657,1,-0.604254,0.470728,0,0.796792,0.379394,0,0,0.796539,5.87264,2.0538,1.29554,6.61884,-0.761908,-1.58482,-1.33635,0.690635,-1.40805,-0.703631,-1.3691,0.246729,0.110341,1.24429,1.07337,-1.32149,-1.47601,-0.368924,0.578472,1.4136,-1.83031,-1.22797,-1.50016,1.83409,1.88661,1.6445,-1.36352,-0.503557,1.12303,-1.10459,0.15888,1.65443,1.25932,1.00769,1.49087,1.43068,0.39025,0.430525,-0.90073,1.1573,-4.47442,-9.30707,-7.84789,4.05585,-8.26899,-4.13217,-8.04021,1.44895,0.647992,7.3073,6.30351,-7.76063,-1.46987,1.36305,2.60506,1.45619,-1.24779,-1.13629,-0.755862,2.69521,2.9504,1.14695,-3.5634,0.81594,-0.0312294,-2.28771,-0.366679,2.82327,-0.458781,0.00720295,-0.0337908,2.52835,1.39731,2.01141,-0.945114,0.14086
-17229.8,0,0.0186273,0,1,1,17244.5,-0.380242,-1.80062,0.545657,1,-0.604254,0.470728,0,0.796792,0.379394,0,0,0.796539,5.87264,2.0538,1.29554,6.61884,-0.761908,-1.58482,-1.33635,0.690635,-1.40805,-0.703631,-1.3691,0.246729,0.110341,1.24429,1.07337,-1.32149,-1.47601,-0.368924,0.578472,1.4136,-1.83031,-1.22797,-1.50016,1.83409,1.88661,1.6445,-1.36352,-0.503557,1.12303,-1.10459,0.15888,1.65443,1.25932,1.00769,1.49087,1.43068,0.39025,0.430525,-0.90073,1.1573,-4.47442,-9.30707,-7.84789,4.05585,-8.26899,-4.13217,-8.04021,1.44895,0.647992,7.3073,6.30351,-7.76063,-1.46987,1.36305,2.60506,1.45619,-1.24779,-1.13629,-0.755862,2.69521,2.9504,1.14695,-3.5634,0.81594,-0.0312294,-2.28771,-0.366679,2.82327,-0.458781,0.00720295,-0.0337908,2.52835,1.39731,2.01141,-0.945114,0.14086
-15780.6,1,0.00130482,2,3,0,17222.9,-0.372766,-1.79936,0.543225,1,-0.604057,0.473608,0,0.796941,0.380307,0,0,0.794394,5.76845,2.0561,1.29201,7.107,-0.754976,-1.58427,-1.33576,0.691172,-1.40701,-0.699245,-1.36899,0.251605,0.116727,1.24428,1.07727,-1.32275,-1.47637,-0.369583,0.582197,1.41363,-1.83558,-1.22517,-1.49867,1.83492,1.88325,1.64091,-1.36361,-0.50255,1.12719,-1.10261,0.157035,1.65545,1.25804,1.00789,1.4873,1.43075,0.389426,0.430409,-0.901652,1.15735,-4.35504,-9.13878,-7.70527,3.98699,-8.11628,-4.03356,-7.89694,1.45137,0.673334,7.17758,6.21419,-7.63021,-1.48149,1.36207,2.613,1.45793,-1.26025,-1.13909,-0.755419,2.69419,2.9409,1.14338,-3.57238,0.819385,-0.0304909,-2.2827,-0.370116,2.81662,-0.471678,0.00458631,-0.0475643,2.52403,1.39647,2.00941,-0.936257,0.131536
-13969.1,1,0.00189104,2,3,0,15742.5,-0.367664,-1.80078,0.542416,1,-0.604637,0.474695,0,0.796501,0.37535,0,0,0.796101,5.60447,2.06261,1.29923,7.94906,-0.750459,-1.58399,-1.33181,0.685616,-1.40699,-0.699372,-1.36486,0.259082,0.120874,1.24944,1.08423,-1.32361,-1.48031,-0.368594,0.582237,1.41802,-1.83847,-1.22906,-1.50009,1.83545,1.88683,1.63891,-1.36178,-0.505073,1.13092,-1.10371,0.159117,1.65951,1.25955,1.00438,1.48623,1.42329,0.391308,0.428902,-0.901323,1.15607,-4.20593,-8.87742,-7.46411,3.84252,-7.88544,-3.91961,-7.64934,1.45202,0.677434,7.00246,6.07654,-7.41812,-1.49603,1.36989,2.61749,1.47458,-1.26567,-1.14699,-0.762286,2.6923,2.94908,1.1343,-3.58942,0.820941,-0.0150004,-2.29824,-0.372865,2.83084,-0.461527,0.00814357,-0.0360718,2.52701,1.39943,2.01344,-0.927666,0.133119
-10361.5,1,0.00305706,5,31,0,13858.3,-0.334949,-1.80158,0.547202,1,-0.607028,0.467728,0,0.79468,0.386905,0,0,0.794692,5.0317,2.05125,1.29616,12.521,-0.75885,-1.57741,-1.30599,0.683009,-1.39644,-0.684267,-1.33272,0.286104,0.124707,1.26023,1.08574,-1.31492,-1.46428,-0.362956,0.577199,1.40947,-1.84963,-1.2259,-1.48338,1.82419,1.87499,1.65124,-1.34928,-0.492528,1.14095,-1.11945,0.164938,1.67075,1.25499,0.991112,1.49225,1.42678,0.39113,0.440834,-0.883055,1.1312,-3.81831,-7.93707,-6.57135,3.4367,-7.02648,-3.44303,-6.70586,1.43959,0.627489,6.34112,5.46312,-6.61628,-1.44202,1.37249,2.56706,1.44709,-1.27626,-1.1463,-0.758588,2.61735,2.90112,1.12247,-3.55137,0.834428,-0.0191439,-2.29141,-0.332402,2.84187,-0.481467,-0.0087224,-0.0147761,2.55792,1.41878,2.04619,-0.928013,0.121028
-9937.69,1,0.00530085,2,3,0,10354.7,-0.292215,-1.79925,0.561423,1,-0.597096,0.468153,0,0.80217,0.393606,0,0,0.791143,4.76322,2.07306,1.29146,14.5918,-0.744097,-1.5801,-1.30378,0.689174,-1.38009,-0.679692,-1.32365,0.296707,0.139612,1.26105,1.08949,-1.31012,-1.45512,-0.35605,0.577469,1.40719,-1.83489,-1.23342,-1.47184,1.81726,1.89045,1.63196,-1.34802,-0.480876,1.15087,-1.11786,0.188376,1.69183,1.24261,0.998867,1.48003,1.42463,0.396591,0.439157,-0.882923,1.12853,-3.5443,-7.52635,-6.21018,3.28269,-6.57369,-3.23753,-6.30487,1.41328,0.665006,6.00668,5.18951,-6.24037,-1.49873,1.36377,2.57413,1.48702,-1.34303,-1.20978,-0.809148,2.65474,2.97091,1.15291,-3.59028,0.822009,-0.0136803,-2.27847,-0.302253,2.86058,-0.497521,-0.0173497,-0.0362686,2.55874,1.45058,2.0407,-0.928634,0.116509
-9337.37,1,0.00961161,5,31,0,9931.02,0.429366,-1.87229,0.859485,1,-0.682955,0.383075,0,0.730461,0.480237,0,0,0.789067,1.16493,1.91186,1.16576,14.5441,-0.63648,-1.36152,-1.18914,0.755931,-1.12528,-0.495903,-0.884216,0.571384,0.322075,1.19373,1.18692,-1.03067,-1.39427,-0.323137,0.57336,1.47325,-1.90459,-1.09089,-1.54874,1.85585,1.93683,1.60331,-1.4572,-0.432085,1.16799,-1.20851,0.120592,1.85147,1.18143,1.03107,1.33888,1.43794,0.385732,0.532886,-0.885565,1.09253,-0.741453,-1.58607,-1.38526,0.880605,-1.31088,-0.577691,-1.03005,0.665621,0.375195,1.39061,1.38268,-1.20066,-1.11609,1.32648,2.3534,1.07042,-1.19054,-0.87597,-1.00835,1.8457,2.28432,0.680414,-3.58482,0.742338,0.00958566,-1.90059,-0.0991209,2.86547,-0.482036,0.116261,-0.030336,2.61686,1.58297,1.92087,-1.10035,0.302809
