# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=109533377
# chain_id=4
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=draws_4.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,L_u.1.1,L_u.2.1,L_u.3.1,L_u.1.2,L_u.2.2,L_u.3.2,L_u.1.3,L_u.2.3,L_u.3.3,sigma_u.1,sigma_u.2,sigma_u.3,sigma,z_u.1.1,z_u.2.1,z_u.3.1,z_u.4.1,z_u.5.1,z_u.6.1,z_u.7.1,z_u.8.1,z_u.9.1,z_u.10.1,z_u.11.1,z_u.12.1,z_u.1.2,z_u.2.2,z_u.3.2,z_u.4.2,z_u.5.2,z_u.6.2,z_u.7.2,z_u.8.2,z_u.9.2,z_u.10.2,z_u.11.2,z_u.12.2,z_u.1.3,z_u.2.3,z_u.3.3,z_u.4.3,z_u.5.3,z_u.6.3,z_u.7.3,z_u.8.3,z_u.9.3,z_u.10.3,z_u.11.3,z_u.12.3,u.1.1,u.2.1,u.3.1,u.4.1,u.5.1,u.6.1,u.7.1,u.8.1,u.9.1,u.10.1,u.11.1,u.12.1,u.1.2,u.2.2,u.3.2,u.4.2,u.5.2,u.6.2,u.7.2,u.8.2,u.9.2,u.10.2,u.11.2,u.12.2,u.1.3,u.2.3,u.3.3,u.4.3,u.5.3,u.6.3,u.7.3,u.8.3,u.9.3,u.10.3,u.11.3,u.12.3
-60572.5,1,0.000976562,1,1,0,1.69751e+06,-1.66732,-0.159064,0.672191,1,-0.586187,-0.942501,0,0.810176,-0.200196,0,0,0.267608,1.59129,3.24944,0.139152,2.59395,0.878125,0.485754,0.651433,-1.1103,-0.695526,-0.410466,1.65392,1.01713,0.911148,1.24094,1.95253,-1.47919,0.62864,1.40623,-1.09515,0.532291,0.101672,-0.886003,1.34528,1.80982,-0.597212,1.84279,-0.741733,-1.58333,0.989658,-1.63654,-1.40863,0.276397,-1.16082,1.10595,0.159877,-0.91288,0.817365,-0.508792,1.52665,-0.245406,1.39735,0.772974,1.03662,-1.7668,-1.10678,-0.653169,2.63186,1.61854,1.4499,1.9747,3.10703,-2.35382,-0.0176639,2.77682,-4.12394,3.51619,1.59249,-1.55066,0.391276,2.82716,-3.30777,2.48763,-5.67184,-1.35076,-0.0958265,-0.163824,-0.107383,0.141081,0.0451598,0.119699,-0.248436,-0.217809,-0.0724239,-0.233034,-0.178564,0.228967
-60572.5,0,14.3855,0,1,1,60592.9,-1.66732,-0.159064,0.672191,1,-0.586187,-0.942501,0,0.810176,-0.200196,0,0,0.267608,1.59129,3.24944,0.139152,2.59395,0.878125,0.485754,0.651433,-1.1103,-0.695526,-0.410466,1.65392,1.01713,0.911148,1.24094,1.95253,-1.47919,0.62864,1.40623,-1.09515,0.532291,0.101672,-0.886003,1.34528,1.80982,-0.597212,1.84279,-0.741733,-1.58333,0.989658,-1.63654,-1.40863,0.276397,-1.16082,1.10595,0.159877,-0.91288,0.817365,-0.508792,1.52665,-0.245406,1.39735,0.772974,1.03662,-1.7668,-1.10678,-0.653169,2.63186,1.61854,1.4499,1.9747,3.10703,-2.35382,-0.0176639,2.77682,-4.12394,3.51619,1.59249,-1.55066,0.391276,2.82716,-3.30777,2.48763,-5.67184,-1.35076,-0.0958265,-0.163824,-0.107383,0.141081,0.0451598,0.119699,-0.248436,-0.217809,-0.0724239,-0.233034,-0.178564,0.228967
-60572.5,0,2.43117,0,1,1,60600.5,-1.66732,-0.159064,0.672191,1,-0.586187,-0.942501,0,0.810176,-0.200196,0,0,0.267608,1.59129,3.24944,0.139152,2.59395,0.878125,0.485754,0.651433,-1.1103,-0.695526,-0.410466,1.65392,1.01713,0.911148,1.24094,1.95253,-1.47919,0.62864,1.40623,-1.09515,0.532291,0.101672,-0.886003,1.34528,1.80982,-0.597212,1.84279,-0.741733,-1.58333,0.989658,-1.63654,-1.40863,0.276397,-1.16082,1.10595,0.159877,-0.91288,0.817365,-0.508792,1.52665,-0.245406,1.39735,0.772974,1.03662,-1.7668,-1.10678,-0.653169,2.63186,1.61854,1.4499,1.9747,3.10703,-2.35382,-0.0176639,2.77682,-4.12394,3.51619,1.59249,-1.55066,0.391276,2.82716,-3.30777,2.48763,-5.67184,-1.35076,-0.0958265,-0.163824,-0.107383,0.141081,0.0451598,0.119699,-0.248436,-0.217809,-0.0724239,-0.233034,-0.178564,0.228967
-60572.5,0,0.239791,0,1,1,60590.7,-1.66732,-0.159064,0.672191,1,-0.586187,-0.942501,0,0.810176,-0.200196,0,0,0.267608,1.59129,3.24944,0.139152,2.59395,0.878125,0.485754,0.651433,-1.1103,-0.695526,-0.410466,1.65392,1.01713,0.911148,1.24094,1.95253,-1.47919,0.62864,1.40623,-1.09515,0.532291,0.101672,-0.886003,1.34528,1.80982,-0.597212,1.84279,-0.741733,-1.58333,0.989658,-1.63654,-1.40863,0.276397,-1.16082,1.10595,0.159877,-0.91288,0.817365,-0.508792,1.52665,-0.245406,1.39735,0.772974,1.03662,-1.7668,-1.10678,-0.653169,2.63186,1.61854,1.4499,1.9747,3.10703,-2.35382,-0.0176639,2.77682,-4.12394,3.51619,1.59249,-1.55066,0.391276,2.82716,-3.30777,2.48763,-5.67184,-1.35076,-0.0958265,-0.163824,-0.107383,0.141081,0.0451598,0.119699,-0.248436,-0.217809,-0.0724239,-0.233034,-0.178564,0.228967
-60572.5,0,0.0186273,0,1,1,60590.5,-1.66732,-0.159064,0.672191,1,-0.586187,-0.942501,0,0.810176,-0.200196,0,0,0.267608,1.59129,3.24944,0.139152,2.59395,0.878125,0.485754,0.651433,-1.1103,-0.695526,-0.410466,1.65392,1.01713,0.911148,1.24094,1.95253,-1.47919,0.62864,1.40623,-1.09515,0.532291,0.101672,-0.886003,1.34528,1.80982,-0.597212,1.84279,-0.741733,-1.58333,0.989658,-1.63654,-1.40863,0.276397,-1.16082,1.10595,0.159877,-0.91288,0.817365,-0.508792,1.52665,-0.245406,1.39735,0.772974,1.03662,-1.7668,-1.10678,-0.653169,2.63186,1.61854,1.4499,1.9747,3.10703,-2.35382,-0.0176639,2.77682,-4.12394,3.51619,1.59249,-1.55066,0.391276,2.82716,-3.30777,2.48763,-5.67184,-1.35076,-0.0958265,-0.163824,-0.107383,0.141081,0.0451598,0.119699,-0.248436,-0.217809,-0.0724239,-0.233034,-0.178564,0.228967
-32550.2,1,0.00130482,2,3,0,58949.6,-1.64777,-0.160135,0.671762,1,-0.585179,-0.94256,0,0.810904,-0.200893,0,0,0.266875,1.61081,3.24698,0.138725,3.66942,0.884852,0.486685,0.659793,-1.10754,-0.695012,-0.41032,1.65589,1.02381,0.913577,1.24356,1.95423,-1.47961,0.627362,1.40557,-1.09478,0.533277,0.103612,-0.887811,1.34992,1.80766,-0.595205,1.84584,-0.742465,-1.58412,0.986823,-1.63746,-1.40892,0.282188,-1.15821,1.10448,0.159469,-0.911109,0.81863,-0.505318,1.5279,-0.24722,1.42533,0.783959,1.0628,-1.78405,-1.11953,-0.660949,2.66733,1.64916,1.4716,2.00315,3.14789,-2.38338,-0.0294383,2.77611,-4.13619,3.50852,1.59337,-1.55796,0.408018,2.81425,-3.30302,2.49722,-5.66805,-1.35962,-0.0966496,-0.163431,-0.107923,0.140404,0.0451102,0.119284,-0.248235,-0.217978,-0.0725608,-0.232753,-0.178269,0.228463
-18907,1,0.00189104,6,63,0,31742.5,-1.63475,-0.159919,0.668999,1,-0.583376,-0.942507,0,0.812202,-0.200188,0,0,0.267591,1.63423,3.24784,0.138162,5.23203,0.88757,0.488903,0.654945,-1.10949,-0.695323,-0.407524,1.66062,1.02754,0.917916,1.24951,1.94931,-1.47644,0.631319,1.3993,-1.0953,0.529069,0.104803,-0.886563,1.34772,1.80659,-0.600897,1.84177,-0.742268,-1.58676,0.991625,-1.642,-1.40835,0.273228,-1.15745,1.10194,0.155774,-0.909834,0.823183,-0.509188,1.52585,-0.248383,1.4505,0.798982,1.07033,-1.81316,-1.13632,-0.665988,2.71385,1.67923,1.50009,2.04198,3.18562,-2.41284,-0.0163305,2.76489,-4.13024,3.49779,1.5939,-1.56653,0.408755,2.81873,-3.3243,2.49097,-5.65141,-1.38829,-0.0963781,-0.163073,-0.10706,0.139944,0.0448532,0.118328,-0.247761,-0.217409,-0.072476,-0.232474,-0.176894,0.226964
-12068.8,1,0.00305706,2,3,0,18448.7,-1.6133,-0.154728,0.678661,1,-0.577501,-0.943071,0,0.81639,-0.197652,0,0,0.267491,1.66956,3.24218,0.137686,7.96248,0.881741,0.493896,0.6745,-1.11423,-0.697285,-0.406398,1.66217,1.03308,0.908897,1.25326,1.96981,-1.47223,0.623594,1.39662,-1.10249,0.521226,0.118738,-0.891255,1.33897,1.80207,-0.606161,1.83398,-0.741466,-1.58677,0.994564,-1.64502,-1.41004,0.26101,-1.15653,1.10638,0.155469,-0.906019,0.830316,-0.514352,1.52306,-0.245947,1.47211,0.824587,1.12612,-1.86026,-1.16416,-0.678504,2.77508,1.72479,1.51745,2.09239,3.28871,-2.45797,-0.000354875,2.77193,-4.18107,3.46586,1.61985,-1.59812,0.431906,2.83556,-3.30622,2.50779,-5.65077,-1.44345,-0.094833,-0.162724,-0.109511,0.140108,0.044715,0.117772,-0.246542,-0.216554,-0.070942,-0.231586,-0.179503,0.22529
-9736.51,1,0.00530085,2,3,0,11885.2,-1.57437,-0.161108,0.676541,1,-0.575329,-0.941525,0,0.817922,-0.19635,0,0,0.27382,1.68367,3.20905,0.134718,12.5654,0.883164,0.511986,0.692205,-1.09372,-0.70662,-0.410273,1.67218,1.02658,0.93281,1.26863,1.96507,-1.46683,0.628085,1.40608,-1.0999,0.529495,0.117128,-0.887228,1.32664,1.79493,-0.61832,1.84129,-0.752227,-1.59649,1.00011,-1.62384,-1.41806,0.257369,-1.15781,1.09469,0.168152,-0.916421,0.83479,-0.517361,1.52867,-0.247393,1.48696,0.862013,1.16544,-1.84146,-1.18971,-0.690763,2.81539,1.72842,1.57054,2.13595,3.30852,-2.46966,0.0180171,2.74536,-4.16496,3.40908,1.61204,-1.57128,0.394818,2.81592,-3.34514,2.49071,-5.60243,-1.48225,-0.0917419,-0.162035,-0.111015,0.134215,0.0438197,0.115889,-0.240988,-0.211496,-0.0711679,-0.228703,-0.172961,0.219157
-9486.98,1,0.00961161,2,3,0,9727.5,-1.51314,-0.18218,0.644173,1,-0.57444,-0.939983,0,0.818546,-0.199922,0,0,0.276521,1.7625,3.11906,0.132082,16.43,0.897152,0.488998,0.673474,-1.10246,-0.723387,-0.365194,1.68283,1.04236,0.923288,1.28215,1.9927,-1.46198,0.648377,1.37425,-1.07313,0.524666,0.080514,-0.893958,1.31505,1.80178,-0.575174,1.8546,-0.757994,-1.62524,1.02798,-1.57813,-1.43529,0.252068,-1.18889,1.08551,0.163935,-0.920111,0.836971,-0.535503,1.53091,-0.256528,1.58123,0.861858,1.187,-1.94308,-1.27497,-0.643654,2.96598,1.83715,1.62729,2.25979,3.51213,-2.57674,0.047929,2.63244,-3.94646,3.31481,1.50166,-1.62804,0.342294,2.73251,-3.12274,2.43771,-5.50558,-1.52993,-0.0909614,-0.154639,-0.1077,0.132228,0.0442634,0.108593,-0.237669,-0.210597,-0.0688735,-0.227716,-0.171474,0.215059
