# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=109533377
# chain_id=1
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=draws_1.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,L_u.1.1,L_u.2.1,L_u.3.1,L_u.1.2,L_u.2.2,L_u.3.2,L_u.1.3,L_u.2.3,L_u.3.3,sigma_u.1,sigma_u.2,sigma_u.3,sigma,z_u.1.1,z_u.2.1,z_u.3.1,z_u.4.1,z_u.5.1,z_u.6.1,z_u.7.1,z_u.8.1,z_u.9.1,z_u.10.1,z_u.11.1,z_u.12.1,z_u.1.2,z_u.2.2,z_u.3.2,z_u.4.2,z_u.5.2,z_u.6.2,z_u.7.2,z_u.8.2,z_u.9.2,z_u.10.2,z_u.11.2,z_u.12.2,z_u.1.3,z_u.2.3,z_u.3.3,z_u.4.3,z_u.5.3,z_u.6.3,z_u.7.3,z_u.8.3,z_u.9.3,z_u.10.3,z_u.11.3,z_u.12.3,u.1.1,u.2.1,u.3.1,u.4.1,u.5.1,u.6.1,u.7.1,u.8.1,u.9.1,u.10.1,u.11.1,u.12.1,u.1.2,u.2.2,u.3.2,u.4.2,u.5.2,u.6.2,u.7.2,u.8.2,u.9.2,u.10.2,u.11.2,u.12.2,u.1.3,u.2.3,u.3.3,u.4.3,u.5.3,u.6.3,u.7.3,u.8.3,u.9.3,u.10.3,u.11.3,u.12.3
-10056.2,1,0.0078125,2,3,0,11977.7,1.71503,0.275075,-0.694735,1,-0.602377,0.55858,0,0.798212,0.762287,0,0,0.326968,4.3437,1.9522,3.77808,9.63774,1.27104,-0.904859,1.30344,0.408545,0.713121,-0.553815,-1.48643,-1.04317,1.10364,-1.09549,0.998748,1.77142,0.813044,-0.970356,0.126127,-1.05108,-1.84707,1.37176,-0.605472,0.101397,-0.99974,-0.354522,-1.871,0.767476,-0.936954,-1.91048,1.31205,-1.90106,0.846744,1.99878,-1.9075,1.47694,1.66868,-1.3354,1.49579,-1.80077,5.52104,-3.93044,5.66174,1.7746,3.09758,-2.40561,-6.45662,-4.53121,4.79387,-4.75846,4.33826,7.69452,-0.227757,-0.447998,-1.33625,-2.1183,-3.71684,2.78884,0.804498,1.38473,-2.8557,0.735808,-4.09002,-0.887188,3.86648,-7.0642,4.73475,-4.51331,-2.7686,5.25102,-7.23699,-0.0849544,1.51117,-4.98251,-1.43297,3.72413
-10056.2,0,14.3855,0,1,1,10085.1,1.71503,0.275075,-0.694735,1,-0.602377,0.55858,0,0.798212,0.762287,0,0,0.326968,4.3437,1.9522,3.77808,9.63774,1.27104,-0.904859,1.30344,0.408545,0.713121,-0.553815,-1.48643,-1.04317,1.10364,-1.09549,0.998748,1.77142,0.813044,-0.970356,0.126127,-1.05108,-1.84707,1.37176,-0.605472,0.101397,-0.99974,-0.354522,-1.871,0.767476,-0.936954,-1.91048,1.31205,-1.90106,0.846744,1.99878,-1.9075,1.47694,1.66868,-1.3354,1.49579,-1.80077,5.52104,-3.93044,5.66174,1.7746,3.09758,-2.40561,-6.45662,-4.53121,4.79387,-4.75846,4.33826,7.69452,-0.227757,-0.447998,-1.33625,-2.1183,-3.71684,2.78884,0.804498,1.38473,-2.8557,0.735808,-4.09002,-0.887188,3.86648,-7.0642,4.73475,-4.51331,-2.7686,5.25102,-7.23699,-0.0849544,1.51117,-4.98251,-1.43297,3.72413
-10056.2,0,2.43117,0,1,1,10087.3,1.71503,0.275075,-0.694735,1,-0.602377,0.55858,0,0.798212,0.762287,0,0,0.326968,4.3437,1.9522,3.77808,9.63774,1.27104,-0.904859,1.30344,0.408545,0.713121,-0.553815,-1.48643,-1.04317,1.10364,-1.09549,0.998748,1.77142,0.813044,-0.970356,0.126127,-1.05108,-1.84707,1.37176,-0.605472,0.101397,-0.99974,-0.354522,-1.871,0.767476,-0.936954,-1.91048,1.31205,-1.90106,0.846744,1.99878,-1.9075,1.47694,1.66868,-1.3354,1.49579,-1.80077,5.52104,-3.93044,5.66174,1.7746,3.09758,-2.40561,-6.45662,-4.53121,4.79387,-4.75846,4.33826,7.69452,-0.227757,-0.447998,-1.33625,-2.1183,-3.71684,2.78884,0.804498,1.38473,-2.8557,0.735808,-4.09002,-0.887188,3.86648,-7.0642,4.73475,-4.51331,-2.7686,5.25102,-7.23699,-0.0849544,1.51117,-4.98251,-1.43297,3.72413
-10056.2,0,0.239791,0,1,1,10088.7,1.71503,0.275075,-0.694735,1,-0.602377,0.55858,0,0.798212,0.762287,0,0,0.326968,4.3437,1.9522,3.77808,9.63774,1.27104,-0.904859,1.30344,0.408545,0.713121,-0.553815,-1.48643,-1.04317,1.10364,-1.09549,0.998748,1.77142,0.813044,-0.970356,0.126127,-1.05108,-1.84707,1.37176,-0.605472,0.101397,-0.99974,-0.354522,-1.871,0.767476,-0.936954,-1.91048,1.31205,-1.90106,0.846744,1.99878,-1.9075,1.47694,1.66868,-1.3354,1.49579,-1.80077,5.52104,-3.93044,5.66174,1.7746,3.09758,-2.40561,-6.45662,-4.53121,4.79387,-4.75846,4.33826,7.69452,-0.227757,-0.447998,-1.33625,-2.1183,-3.71684,2.78884,0.804498,1.38473,-2.8557,0.735808,-4.09002,-0.887188,3.86648,-7.0642,4.73475,-4.51331,-2.7686,5.25102,-7.23699,-0.0849544,1.51117,-4.98251,-1.43297,3.72413
-9124.02,0.571429,0.0186273,3,7,0,9782.01,1.97953,0.241126,-0.668807,1,-0.578259,0.603276,0,0.815853,0.729634,0,0,0.322013,2.55021,1.86656,4.1548,16.7035,1.29055,-0.783125,1.2709,0.437472,0.841345,-0.418315,-1.30617,-0.706075,1.29679,-0.914114,1.08399,1.71127,0.798374,-0.935392,0.0841163,-1.10817,-1.82462,1.39698,-0.562022,0.0736042,-0.98519,-0.32296,-1.78474,0.735961,-0.863657,-1.9335,1.26608,-1.87568,0.927857,2.08599,-1.96177,1.44241,1.66581,-1.33581,1.5891,-1.88316,3.29117,-1.99713,3.24108,1.11565,2.14561,-1.06679,-3.331,-1.80064,3.30709,-2.33118,2.76439,4.3641,-0.177165,-0.579181,-1.24366,-2.15974,-3.68672,2.57889,0.553948,0.874193,-2.89998,0.494838,-3.88788,-0.726319,4.49952,-7.38535,5.1344,-4.77234,-2.18112,5.97728,-7.6023,0.383162,2.4925,-5.05744,-0.567365,4.00085
-9022.96,0.938364,0.00716881,3,7,0,9140.56,2.02269,0.236675,-0.664107,1,-0.583025,0.585684,0,0.812454,0.747424,0,0,0.313579,2.44323,1.85317,3.98574,13.5375,1.29458,-0.77011,1.2713,0.441265,0.843419,-0.426926,-1.30971,-0.733367,1.28358,-0.868127,1.10983,1.71241,0.82874,-0.927665,0.101129,-1.0997,-1.82198,1.39258,-0.577568,0.0583703,-0.996174,-0.345718,-1.79219,0.735934,-0.813592,-1.94101,1.28711,-1.8668,0.92919,2.10058,-1.95163,1.43393,1.69324,-1.3127,1.55637,-1.90237,3.16295,-1.88156,3.10609,1.07811,2.06067,-1.04308,-3.19994,-1.79179,3.13608,-2.12104,2.71157,4.1838,-0.150957,-0.564647,-1.22131,-2.13248,-3.65448,2.55796,0.545479,0.880247,-2.88669,0.417446,-3.89746,-0.742126,4.47403,-6.98724,4.87766,-4.57916,-2.29756,5.77734,-7.2172,0.254116,2.14501,-4.69711,-0.803005,3.81212
-8848.85,0.950163,0.00900734,4,15,0,9044.96,2.55344,0.140088,-0.726846,1,-0.582975,0.467129,0,0.81249,0.815425,0,0,0.341866,1.95345,1.7259,4.3184,12.732,1.3991,-0.775318,1.32064,0.672919,0.879562,-0.210627,-1.01788,-0.454973,1.49857,-0.821606,1.24914,1.69845,0.690543,-0.907015,0.0187756,-1.04279,-1.92492,1.38048,-0.447565,-0.0501853,-1.04673,-0.441454,-1.78855,0.713646,-0.924374,-1.91671,1.36798,-1.78486,0.963792,2.14258,-2.02292,1.44919,1.64354,-1.38456,1.45331,-1.94619,2.73307,-1.51455,2.5798,1.31452,1.71818,-0.41145,-1.98837,-0.888767,2.92739,-1.60497,2.44013,3.31784,-0.43938,-0.491794,-1.30244,-2.13934,-3.58425,2.14774,0.396534,0.387401,-2.97561,0.207625,-3.76487,-0.70818,3.88929,-7.58758,4.74975,-4.94957,-3.58112,7.59936,-6.6158,1.04494,1.76349,-5.25593,-1.63271,3.06599
-8743.12,0.769787,0.012796,4,15,0,8866.57,2.90879,0.200073,-0.712083,1,-0.561187,0.454179,0,0.827689,0.825827,0,0,0.334263,1.98577,1.73896,4.64467,12.5575,1.39326,-0.67699,1.37031,0.746406,1.05146,-0.241263,-0.853128,-0.338758,1.56944,-0.687634,1.32964,1.65126,0.639984,-0.870364,-0.123495,-1.03192,-1.82319,1.38743,-0.485983,-0.0736594,-1.08786,-0.412013,-1.74673,0.668187,-0.956617,-1.9963,1.38829,-1.73327,0.993568,2.09895,-1.94328,1.53117,1.57162,-1.43654,1.53026,-2.02358,2.7667,-1.34435,2.72112,1.48219,2.08797,-0.479093,-1.69412,-0.672697,3.11656,-1.36549,2.64036,3.27903,-0.438519,-0.592066,-1.515,-2.21366,-3.65024,2.23239,0.133068,0.224568,-3.09737,0.0780315,-3.81166,-0.649703,3.9087,-7.8659,4.57236,-5.07455,-3.23256,8.0715,-6.68079,1.38005,1.57805,-5.26121,-1.51926,2.90462
-8740.71,0.692854,0.0109122,4,30,1,8769.65,2.91227,0.173912,-0.713275,1,-0.565879,0.452805,0,0.824488,0.826023,0,0,0.335639,1.9765,1.7543,4.63699,12.4324,1.3985,-0.661512,1.37945,0.755931,1.03773,-0.25376,-0.848956,-0.331966,1.58654,-0.667284,1.32766,1.65677,0.624723,-0.863156,-0.118978,-1.05206,-1.8183,1.39364,-0.496822,-0.0667727,-1.05132,-0.39383,-1.75312,0.666885,-0.951299,-2.00231,1.38967,-1.7312,0.996451,2.08556,-1.94924,1.53178,1.57118,-1.41885,1.54624,-2.00455,2.76414,-1.30748,2.72649,1.4941,2.05109,-0.501558,-1.67796,-0.656132,3.13581,-1.31889,2.62413,3.27461,-0.484722,-0.591771,-1.5415,-2.27213,-3.66016,2.26767,0.124174,0.232969,-3.09563,0.092791,-3.8537,-0.680127,3.84867,-7.81135,4.60347,-5.13683,-3.23483,8.05105,-6.71917,1.43121,1.74966,-5.11776,-1.52077,2.9132
-8617.73,0.850675,0.0075273,5,31,0,8762.67,3.31273,0.179715,-0.689975,1,-0.569956,0.449222,0,0.821675,0.839229,0,0,0.306421,2.20805,1.54212,4.94238,11.9065,1.45779,-0.711506,1.39432,0.66267,1.0789,-0.0844558,-0.715872,-0.209794,1.75082,-0.575664,1.3585,1.53762,0.599742,-0.904074,-0.0973155,-1.03773,-1.83416,1.36231,-0.569869,-0.0715572,-1.03403,-0.395316,-1.7593,0.712279,-0.88379,-1.97795,1.40792,-1.84236,1.03323,2.04647,-1.98932,1.51629,1.4882,-1.31899,1.45483,-2.04468,3.21888,-1.57104,3.07873,1.46321,2.38227,-0.186482,-1.58068,-0.463235,3.86589,-1.27109,2.99964,3.39513,-0.52137,-0.520202,-1.34884,-1.89738,-3.2724,1.80044,-0.0928852,0.0937253,-2.84912,0.0050616,-3.4233,-0.448931,4.38578,-8.32512,4.82429,-5.62317,-3.64753,8.56234,-6.96582,1.53375,1.85207,-4.91534,-2.07777,3.27167
