# Sample generated by Stan
# stan_version_major=2
# stan_version_minor=21
# stan_version_patch=0
# init=random
# enable_random_init=1
# seed=109533377
# chain_id=3
# iter=2000
# warmup=1000
# save_warmup=1
# thin=1
# refresh=200
# stepsize=1
# stepsize_jitter=0
# adapt_engaged=1
# adapt_gamma=0.05
# adapt_delta=0.8
# adapt_kappa=0.75
# adapt_t0=10
# max_treedepth=10
# sampler_t=NUTS(diag_e)
# sample_file=draws_3.csv
# append_samples=0
#
lp__,accept_stat__,stepsize__,treedepth__,n_leapfrog__,divergent__,energy__,beta.1,beta.2,beta.3,L_u.1.1,L_u.2.1,L_u.3.1,L_u.1.2,L_u.2.2,L_u.3.2,L_u.1.3,L_u.2.3,L_u.3.3,sigma_u.1,sigma_u.2,sigma_u.3,sigma,z_u.1.1,z_u.2.1,z_u.3.1,z_u.4.1,z_u.5.1,z_u.6.1,z_u.7.1,z_u.8.1,z_u.9.1,z_u.10.1,z_u.11.1,z_u.12.1,z_u.1.2,z_u.2.2,z_u.3.2,z_u.4.2,z_u.5.2,z_u.6.2,z_u.7.2,z_u.8.2,z_u.9.2,z_u.10.2,z_u.11.2,z_u.12.2,z_u.1.3,z_u.2.3,z_u.3.3,z_u.4.3,z_u.5.3,z_u.6.3,z_u.7.3,z_u.8.3,z_u.9.3,z_u.10.3,z_u.11.3,z_u.12.3,u.1.1,u.2.1,u.3.1,u.4.1,u.5.1,u.6.1,u.7.1,u.8.1,u.9.1,u.10.1,u.11.1,u.12.1,u.1.2,u.2.2,u.3.2,u.4.2,u.5.2,u.6.2,u.7.2,u.8.2,u.9.2,u.10.2,u.11.2,u.12.2,u.1.3,u.2.3,u.3.3,u.4.3,u.5.3,u.6.3,u.7.3,u.8.3,u.9.3,u.10.3,u.11.3,u.12.3
-6693.98,0.995005,0.0050782,6,63,0,8578.48,11.8702,-0.838886,1.32459,1,-0.507193,0.401139,0,0.861832,0.842258,0,0,0.360124,0.40386,1.05228,1.84608,6.06886,1.66035,-0.8208,1.997,-0.574944,0.725309,0.457047,-0.591102,0.378081,0.687534,0.61559,-0.805894,1.32443,1.82891,1.82339,1.27996,-0.371905,0.880595,-0.584758,0.466481,-1.91639,0.0998784,0.293323,-0.753214,1.52079,0.752529,-0.126576,2.28258,-1.60967,-0.552881,-0.190681,0.385736,0.720887,-0.380303,1.49346,-0.705483,-0.208711,0.670549,-0.331488,0.806509,-0.232197,0.292923,0.184583,-0.238722,0.152692,0.277667,0.248612,-0.325468,0.534885,0.772472,2.09167,0.0949654,-0.0304231,0.411496,-0.774238,0.73852,-1.93973,-0.276364,-0.0625342,-0.252967,0.672321,4.57357,2.14315,4.98653,-2.07417,1.53876,-0.697534,0.544032,-2.2205,0.411609,1.90483,-2.23696,3.20667
-6527.75,0.979576,0.0094832,5,31,0,6723.28,12.7609,-0.865986,1.53131,1,-0.441562,0.353266,0,0.897231,0.84869,0,0,0.393609,0.332566,0.964642,1.62854,5.87017,1.5348,-0.930468,1.89256,-0.715374,0.472025,0.526306,-0.379374,0.511894,0.855124,0.664166,-0.751393,1.32375,1.83583,1.9602,1.35779,-0.397453,0.733914,-0.581699,0.692814,-1.77165,0.0752152,0.155949,-0.565958,1.56298,0.765879,-0.0817513,2.11581,-1.67176,-0.467794,-0.215785,0.359306,0.609874,-0.382286,1.64856,-0.625243,-0.24122,0.510422,-0.309442,0.629402,-0.237909,0.156979,0.175031,-0.126167,0.170238,0.284385,0.220879,-0.249887,0.440233,0.935175,2.09289,0.369043,-0.039285,0.434149,-0.727643,0.761228,-1.75142,-0.29914,-0.147926,-0.169785,0.788916,3.91128,2.12153,4.32171,-2.0325,0.986064,-0.639514,0.969619,-1.76322,0.350869,1.65438,-1.6153,2.76717
-6389.78,0.946308,0.0170473,5,31,0,6546.77,15.2739,-0.919111,1.12754,1,-0.566683,0.44831,0,0.823936,0.757085,0,0,0.475226,0.325118,0.72469,1.49377,5.56002,1.15809,-0.938438,1.61483,-0.634481,1.11677,0.972549,0.0819761,1.03965,1.32807,0.710787,-1.15048,0.974363,1.83476,1.76557,1.3333,-0.639715,0.889584,-0.406227,0.537715,-1.67087,-0.142736,0.0331942,-0.65543,1.34802,0.345371,-0.177794,1.78583,-1.22199,-0.4166,-0.455083,0.355455,0.751574,-0.504814,1.92849,-0.396416,-0.477648,0.376517,-0.305103,0.525012,-0.206281,0.363081,0.316193,0.0266519,0.338008,0.431778,0.23109,-0.374041,0.316783,0.619938,1.43961,0.132946,-0.121411,0.0725473,-0.641954,0.287404,-1.42463,-0.630623,-0.272078,0.0811101,0.404762,3.09567,1.24204,3.85698,-2.01583,1.45818,-0.131172,0.915337,-0.659861,0.369592,1.88253,-1.79309,1.83793
-6388.84,0.122628,0.0277402,3,12,1,6410.09,15.2683,-0.904269,1.12482,1,-0.589945,0.450902,0,0.807444,0.754655,0,0,0.476637,0.342844,0.704326,1.52704,5.57892,1.16552,-0.949225,1.61053,-0.655316,1.13312,0.982531,0.0783646,1.01867,1.32997,0.742902,-1.09287,0.934723,1.82042,1.75399,1.32141,-0.624398,0.956717,-0.432656,0.509297,-1.71246,-0.111138,0.0183267,-0.675482,1.37941,0.331656,-0.197375,1.78891,-1.21673,-0.441843,-0.432069,0.342756,0.736749,-0.557498,1.94221,-0.40681,-0.446716,0.399593,-0.325436,0.552161,-0.224671,0.388483,0.336855,0.0268669,0.349246,0.455974,0.2547,-0.374684,0.320465,0.550988,1.39192,0.0822947,-0.0828048,0.0732632,-0.654308,0.257078,-1.39715,-0.615826,-0.298263,0.0699533,0.396087,3.14174,1.22404,3.93376,-2.05636,1.56112,-0.136548,0.890341,-0.735775,0.381903,1.94627,-1.82701,1.90808
-2804.78,0.841188,0.00346645,8,255,0,6318.64,12.8004,-0.65308,0.96337,1,-0.293714,0.571532,0,0.955893,0.660957,0,0,0.4863,2.91455,0.391564,1.19781,1.61306,-2.0079,-1.8362,-0.907689,-0.453936,0.92262,2.22314,3.419,3.31361,2.45452,0.888992,-0.97091,-1.78688,1.80616,2.57027,1.41044,-0.714929,0.938334,-0.21624,1.1575,-2.12756,-0.55803,-0.945804,-0.0435017,1.33174,-0.427523,0.178721,1.28488,-1.32072,-0.0883802,-0.165945,0.462565,0.628839,-0.460743,2.36223,-1.11277,-0.101332,-5.85214,-5.35169,-2.64551,-1.32302,2.68902,6.47945,9.96485,9.6577,7.15382,2.59101,-2.82977,-5.20796,0.906959,1.17321,0.63231,-0.215387,0.245104,-0.336616,0.0400342,-1.17743,-0.491156,-0.456249,0.0953801,0.703966,-0.193675,0.881949,1.24368,-1.64608,1.32301,1.25407,3.52643,0.950355,0.970154,1.23578,-1.34729,-0.227966
-2562.4,1,0.0041412,4,15,0,2818.44,13.1836,-0.656875,1.01786,1,-0.300098,0.489878,0,0.953908,0.70293,0,0,0.515664,2.69849,0.378297,1.19262,1.41862,-1.95732,-1.63804,-0.887361,-0.266664,0.984182,2.29645,3.4104,3.41804,2.42688,0.9878,-0.76683,-1.71117,1.7601,2.59372,1.38761,-0.748051,0.954851,-0.322919,1.15839,-2.10649,-0.59767,-0.924993,-0.0306233,1.30119,-0.427387,0.127289,1.28598,-1.28529,-0.0869173,-0.222358,0.402917,0.618088,-0.452032,2.31479,-1.07217,-0.109701,-5.28181,-4.42022,-2.39453,-0.719589,2.65581,6.19693,9.20291,9.22356,6.54892,2.66557,-2.06928,-4.61756,0.857357,1.12193,0.601474,-0.239669,0.232837,-0.377236,0.0308475,-1.14819,-0.49119,-0.445935,0.0760046,0.663809,0.0691578,1.29567,1.43571,-1.57335,1.32202,0.934212,3.21139,0.611145,0.63884,1.22524,-1.13306,0.0236274
-2508.9,0.659244,0.00808757,7,247,1,2573.05,12.8468,1.19713,1.00075,1,-0.267961,0.659192,0,0.96343,0.283082,0,0,0.696656,2.88879,0.348558,2.89367,1.43488,-1.85287,-1.50224,-0.87039,-0.247318,1.03443,2.22205,3.29931,3.36959,2.43613,1.02284,-0.608827,-1.57947,1.58611,2.24157,1.5207,-0.727206,0.840211,0.229128,1.65996,-1.58236,-0.789902,-0.0165296,0.0754436,1.65709,0.0825465,-0.313287,1.31291,-1.33114,-0.0203258,-0.24874,0.387348,0.681578,0.780847,2.14453,-1.36314,0.203593,-5.35255,-4.33967,-2.51438,-0.714451,2.98826,6.41904,9.53101,9.73406,7.03746,2.95479,-1.75877,-4.56276,0.70569,0.893054,0.591962,-0.221104,0.185536,-0.130595,0.249278,-0.846093,-0.492791,-0.101084,0.0821991,0.703991,-2.06866,-1.66088,2.23211,-3.75088,2.62045,3.92478,8.43399,6.50526,5.57394,6.26068,-3.84747,-1.24499
-2385.95,0.998303,0.00554629,8,255,0,2541.37,12.2107,6.31,4.90188,1,0.939127,0.468644,0,0.343569,0.779969,0,0,0.414754,3.53041,16.5947,5.2733,1.34653,-1.29392,-0.992941,-0.486459,-0.00419668,1.01714,2.04683,2.9116,2.98732,2.18555,1.03142,-0.275302,-1.03532,0.131788,0.212159,1.12028,2.22536,0.273849,0.00549613,0.31606,-1.32408,-0.254626,-0.631855,-0.0937439,0.983877,2.42586,-0.125735,1.6433,0.0607319,0.279936,1.71061,-0.835943,1.80973,0.618901,1.91139,0.568797,2.48109,-4.56808,-3.50549,-1.7174,-0.014816,3.59094,7.22614,10.2791,10.5465,7.71589,3.64132,-0.97193,-3.65512,-19.4138,-14.2649,-1.19405,12.6223,17.413,31.9301,47.1778,39.0068,32.609,12.4716,-4.82493,-10.5255,2.65003,-1.85624,6.99962,9.27536,4.25227,8.82225,6.66708,5.89474,5.70749,4.13056,0.178105,6.91454
-2385.95,0.00449456,0.0107214,2,5,1,2409.97,12.2107,6.31,4.90188,1,0.939127,0.468644,0,0.343569,0.779969,0,0,0.414754,3.53041,16.5947,5.2733,1.34653,-1.29392,-0.992941,-0.486459,-0.00419668,1.01714,2.04683,2.9116,2.98732,2.18555,1.03142,-0.275302,-1.03532,0.131788,0.212159,1.12028,2.22536,0.273849,0.00549613,0.31606,-1.32408,-0.254626,-0.631855,-0.0937439,0.983877,2.42586,-0.125735,1.6433,0.0607319,0.279936,1.71061,-0.835943,1.80973,0.618901,1.91139,0.568797,2.48109,-4.56808,-3.50549,-1.7174,-0.014816,3.59094,7.22614,10.2791,10.5465,7.71589,3.64132,-0.97193,-3.65512,-19.4138,-14.2649,-1.19405,12.6223,17.413,31.9301,47.1778,39.0068,32.609,12.4716,-4.82493,-10.5255,2.65003,-1.85624,6.99962,9.27536,4.25227,8.82225,6.66708,5.89474,5.70749,4.13056,0.178105,6.91454
-2327.46,0.999961,0.00103637,10,1023,0,2408.32,10.6059,7.14351,6.13181,1,0.759031,0.358948,0,0.651054,0.666064,0,0,0.653846,4.40842,19.7119,6.65298,1.33755,-0.672282,-0.496765,-0.0769037,0.454471,1.23974,2.03218,2.69483,2.73356,2.05062,1.15105,0.105163,-0.551167,0.13462,-0.0189348,0.862796,1.81391,1.19324,0.819094,0.737009,-0.946653,-0.0876877,-0.392784,0.0414954,1.07988,2.40227,0.0174082,2.28645,0.0822841,0.406755,2.04991,0.0269187,2.35403,1.1126,1.90108,0.0888326,2.57431,-2.9637,-2.18995,-0.339024,2.0035,5.46531,8.95871,11.88,12.0507,9.04,5.0743,0.463604,-2.42978,-8.33099,-7.67556,9.92205,30.0786,33.8624,40.9171,49.7782,28.7504,29.5558,12.1811,2.10598,5.61208,9.44101,-1.19449,13.5858,9.48125,10.0176,17.3998,9.81846,12.5731,9.34829,9.27799,0.821441,14.6674
